Satisfactory;%APPDATA%\Local\FactoryGame\Saved\SaveGames;100–500;FactoryGame
Horizon Zero Dawn;%USERPROFILE%\Documents\Horizon Zero Dawn;1;
Elden Ring;%APPDATA%\Roaming\EldenRing\76561197960267366;5–10;
Cult Of The Lamb;%USERPROFILE%\AppData\LocalLow\Massive Monster\Cult Of The Lamb\saves;1;
The Witcher 3: Wild Hunt;%USERPROFILE%\Documents\TheWitcher3\gamesaves;2–10;
Skyrim;%USERPROFILE%\Documents\MyGames\Skyrim\Saves;5–15;
Fallout 4;%USERPROFILE%\Documents\MyGames\Fallout4\Saves;10–35;
Cyberpunk 2077;%USERPROFILE%\SavedGames\CDProjektRed\Cyberpunk2077;3–8;
Red Dead Redemption 2;%USERPROFILE%\Documents\RockstarGames\RedDeadRedemption2\Profiles;1–5;
GTA V;%USERPROFILE%\Documents\RockstarGames\GTAV\Profiles;1–10;
Dark Souls III;%APPDATA%\Roaming\DarkSoulsIII;3–6;
Dark Souls II;%APPDATA%\Roaming\DarkSoulsII;3–6;
Dark Souls: Remastered;%USERPROFILE%\Documents\NBGI\DarkSouls;3–6;
Elden Ring;%APPDATA%\Roaming\EldenRing;3–6;
Horizon Zero Dawn;%USERPROFILE%\SavedGames\HorizonZeroDawn;2–5;
God of War (2022);%USERPROFILE%\SavedGames\GodofWar;2–5;
Death Stranding;%USERPROFILE%\SavedGames\KojimaProductions\DeathStranding;2–5;
Control;%USERPROFILE%\Documents\Remedy\Control\Savegames;2–5;
Metro Exodus;%USERPROFILE%\SavedGames\metroexodus\some_id;2–5;
Far Cry 5;%USERPROFILE%\Documents\CPY_SAVES\CPY\UPLAY\1803;1–3;
Far Cry 4;%ProgramData%\Orbit\420\RLD!;1–3;
Assassin's Creed Valhalla;%ProgramData%\Orbit\13504;1–5;
Assassin's Creed Odyssey;%ProgramData%\Orbit\13258;1–5;
Assassin's Creed Origins;%ProgramData%\Orbit\13504;1–5;
Assassin's Creed Unity;%ProgramData%\Orbit\720;1–5;
Assassin's Creed IV: Black Flag;%ProgramData%\Orbit\437;1–5;
Assassin's Creed III;%APPDATA%\Roaming\Ubisoft\Assassin'sCreed3\SavedGames;1–5;
Assassin's Creed II;%ProgramFiles(x86)%\Ubisoft\UbisoftGameLauncher\savegames{user_id}\4\;1–5;
Assassin's Creed;%APPDATA%\Roaming\Ubisoft\Assassin'sCreed\SavedGames;1–5;
Watch Dogs: Legion;%ProgramData%\Orbit\13504;1–5;
Watch Dogs 2;%ProgramData%\Orbit\2688;1–5;
Watch Dogs;%ProgramData%\Orbit\274;1–5;
Call of Duty: Modern Warfare (2019);%USERPROFILE%\Documents\CallofDutyModernWarfare\players2;1–3;
Call of Duty: Black Ops Cold War;%USERPROFILE%\Documents\CallofDutyBlackOpsColdWar\players2;1–3;
Call of Duty: Warzone;%USERPROFILE%\Documents\CallofDutyModernWarfare\players2;1–3;
Call of Duty: WWII;%USERPROFILE%\Documents\CallofDutyWWII\players2;1–3;
Call of Duty: Infinite Warfare;%USERPROFILE%\Documents\CallofDutyInfiniteWarfare\players2;1–3;
Call of Duty: Black Ops III;%USERPROFILE%\Documents\CallofDutyBlackOpsIII\players2;1–3;
Call of Duty: Advanced Warfare;%USERPROFILE%\Documents\CallofDutyAdvancedWarfare\players2;1–3;
Call of Duty: Ghosts;%USERPROFILE%\Documents\CallofDutyGhosts\players2;1–3;
Call of Duty: Black Ops II;%USERPROFILE%\Documents\CallofDutyBlackOpsII\players;1–3;
Call of Duty: Modern Warfare 3;%USERPROFILE%\Documents\CallofDutyModernWarfare3\players;1–3;
Call of Duty: Black Ops;%USERPROFILE%\Documents\CallofDutyBlackOps\players;1–3;
Call of Duty: Modern Warfare 2;%USERPROFILE%\Documents\CallofDutyModernWarfare2\players;1–3;
Call of Duty: World at War;%APPDATA%\Local\Activision\CoDWaW\players\profiles;1–3;
Call of Duty 4: Modern Warfare;%ProgramFiles%\Activision\CallofDuty4-ModernWarfare\players\profiles;1–3;
Battlefield V;%USERPROFILE%\Documents\BattlefieldV\settings;1–3;
Battlefield 1;%USERPROFILE%\Documents\Battlefield1\settings;1–3;
Battlefield 4;%USERPROFILE%\Documents\Battlefield4\settings;1–3;
Battlefield 3;%USERPROFILE%\Documents\Battlefield3\settings;1–3;
Battlefield: Bad Company 2;%USERPROFILE%\Documents\BFBC2;1–3;
Battlefield 2;%USERPROFILE%\Documents\Battlefield2\Profiles;1–3;
Apex Legends;%USERPROFILE%\SavedGames\Respawn\Apex;1–3;
Titanfall 2;%USERPROFILE%\SavedGames\Respawn\Titanfall2;1–3;
